County,Location,Address,Latitude,Longitude
Montgomery,Montgomery County Board of Elections,"18753 N Frederick Avenue, Suite 210, Gaithersburg, MD 20879",39.164824,-77.225162
Montgomery,Montgomery County Conference Ctr/Bethesda North Marriott,"5967 Executive Boulevard, N. Bethesda 20852",39.047574,-77.118459
Montgomery,"Nancy H. Dacek, North Potomac Community Recreation Cent","13850 Travilah Road, Rockville, MD 20850",39.083788,-77.231892
Montgomery,Northwest High School,"13501 Richter Farm Road, Germantown, MD, 20874",39.15168,-77.279609
Montgomery,Paint Branch High School,"14121 Old Columbia Pike, Burtonsville, MD 20866",39.086497,-76.947594
Montgomery,Poolesville High School,"17501 West Willard Road, Poolesville, MD 20837",39.143393,-77.41853
Montgomery,Potomac Community Recreation Center,"11315 Falls Road, Potomac, MD 20854",39.041011,-77.19157
Montgomery,Quince Orchard High School,"15800 Quince Orchard Road, Gaithersburg, MD 20878",39.115828,-77.254306
Montgomery,Richard Montgomery High School,"250 Richard Montgomery Drive, Rockville, MD 20852",39.07933,-77.146774
Montgomery,Riderwood Village - Village Square Clubhouse,"3110 Gracefield Road, Silver Spring, MD 20904",39.050506,-76.948861
Montgomery,Robertson Park Youth Center,"801 Rabbitt Road, Gaithersburg, MD 20878",39.140386,-77.230374
Montgomery,Rockville City Hall,"111 Maryland Avenue, Rockville, MD 20850",39.081791,-77.151723
Montgomery,Rockville High School,"2100 Baltimore Road, Rockville, MD 20851",39.086808,-77.118549
Montgomery,Sandy Spring Volunteer Fire Department,"17921 Brooke Road, Sandy Spring, MD 20860",39.150646,-77.027158
Montgomery,Seneca Valley High School,"19401 Crystal Rock Drive, Germantown, MD 20874",39.173984,-77.264057
Montgomery,Sherwood High School,"300 Olney-Sandy Spring Road, Sandy Spring, MD 20860",39.147071,-77.0192
Montgomery,Silver Spring Civic Building,"1 Veterans Place, Silver Spring, MD 20910",38.997442,-77.024507
Montgomery,Springbrook High School,"201 Valley Brook Drive, Silver Spring, MD 20904",39.057999,-77.005814
Montgomery,Takoma Park Community Center,"7500 Maple Avenue, Takoma Park, MD 20912",38.981663,-77.010357
Montgomery,Thomas S. Wootton High School,"2100 Wootton Parkway, Rockville, MD 20850",39.076974,-77.183077
Montgomery,Upper County Community Recreation Center,"8201 Emory Grove Road, Gaithersburg, MD 20877",39.149964,-77.167159
